length_context,length_question,length_entities,entity_num,correct
284,20,17,35,0
327,11,15,44,0
650,10,21,12,0
487,13,28,12,1
321,23,26,23,0
210,10,7,6,1
231,11,21,4,1
920,10,17,12,1
878,25,27,17,0
486,22,23,18,0
866,14,22,24,0
274,11,22,5,0
614,13,21,47,0
460,16,13,6,1
399,12,13,1,1
906,11,29,9,1
1129,14,41,1,0
1121,17,28,12,1
578,13,16,0,0
598,19,20,20,0
481,11,16,14,1
392,12,13,2,0
599,8,18,2,0
1560,11,55,265,0
393,10,13,0,1
1171,11,35,176,0
1064,21,29,3,1
997,11,12,24,1
266,17,17,5,0
210,12,16,11,1
279,9,28,4,1
176,14,10,5,1
452,17,34,7,1
684,10,30,9,1
364,8,20,5,1
237,11,13,3,0
656,10,18,20,1
1121,17,26,47,0
220,18,10,16,0
984,15,54,5,1
1282,16,15,3,0
958,9,34,7,1
869,11,45,13,1
343,17,16,15,0
663,12,25,7,0
1090,6,36,29,0
804,11,21,9,0
1477,16,59,127,0
255,19,12,11,0
785,10,21,23,0
414,8,22,3,1
1303,11,32,5,1
803,20,27,2,1
359,14,21,30,0
546,17,10,5,1
536,9,19,27,0
506,16,15,5,1
656,12,18,20,1
436,11,9,7,0
1625,11,26,32,0
272,16,9,15,0
410,13,23,8,1
601,9,21,7,0
481,18,9,5,0
1479,12,30,1,0
1064,18,29,9,0
864,25,21,61,0
1650,13,53,3,1
467,11,27,20,0
1004,13,14,1,1
1009,14,19,28,0
1650,14,38,45,0
649,15,27,1,0
1189,10,49,212,0
938,10,39,159,0
233,8,10,5,0
1209,23,40,7,0
601,15,21,2,0
126,7,6,15,0
1186,8,25,16,1
637,20,36,8,1
335,7,10,2,1
207,16,13,3,0
504,13,20,5,1
468,16,15,29,0
710,15,15,2,1
927,13,36,14,0
689,12,11,21,0
983,18,24,0,1
444,13,31,7,0
494,17,12,27,0
321,13,20,8,1
948,9,29,132,0
438,18,13,0,0
554,13,17,6,1
1187,12,22,4,1
